run_id,gpu,wandb_url,step,_runtime_s,t_rollout_s,t_score_s,t_advantage_s,t_train_fwd_bwd_s,t_optimizer_s,t_weight_sync_s,rollout_plus_train_s,all_phases_s,n_kept,fraction_filtered,num_chunks,t_logprob_fwd_s,t_backward_s
1hg8fs5u,B200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/1hg8fs5u,0,286.277676482,64.546037431,0.4299918869999999,0.0003267649999969535,72.35176771600001,0.047374176000005264,0.004265794000019696,136.897805147,137.37976376900005,168,0.671875,2,4.722901351000019,67.513637231
1hg8fs5u,B200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/1hg8fs5u,1,421.139166381,57.90758061899999,0.26682305100001713,0.0002610759999868151,55.47030683800003,0.00892541500002153,0.003965698000001794,113.37788745700001,113.65786269700004,152,0.703125,2,4.2696091689999776,51.105457821000044
1hg8fs5u,B200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/1hg8fs5u,2,542.988285742,63.80485917599998,0.25715578699998787,0.0002631170000313432,70.21294814700002,0.008948014999987208,0.003962238999974943,134.017807323,134.28813648099998,160,0.6875,2,4.429669393999973,65.66844459799995
1hg8fs5u,B200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/1hg8fs5u,3,629.316656801,57.358184725,0.3536865269999794,0.00021494700001767342,63.76328890800005,0.009120583000026272,0.0041669659999570285,121.12147363300005,121.48866265600003,192,0.625,2,6.002260803999945,57.616325478999954
1hg8fs5u,B200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/1hg8fs5u,4,756.801280688,46.830940389000034,0.22040027399998507,0.00022707700009050313,38.79289096399998,0.008311443000025065,0.0039705090000552445,85.62383135300001,85.85674065600017,176,0.65625,2,5.503930328000024,33.18389744199999
1hg8fs5u,B200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/1hg8fs5u,5,889.142959668,59.18228204800005,0.2255201659999102,0.00021474699997270363,67.60691909900004,0.009245082000006732,0.004071247999945626,126.78920114700009,127.02825238999992,200,0.609375,2,4.813574371999948,62.646093574999895
1hg8fs5u,B200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/1hg8fs5u,6,981.615386828,59.744192354000006,0.2079829570000129,0.00021701699995446688,71.91907699800004,0.009506009000006088,0.004085548000034578,131.66326935200004,131.88506088300005,208,0.59375,2,5.18591652300006,66.58240663499987
1hg8fs5u,B200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/1hg8fs5u,7,1082.690016122,53.54130864900003,0.30497313300008955,0.00022420699997383053,37.76953829499996,0.00932452100005321,0.004296535000094082,91.31084694399999,91.6296653400002,120,0.765625,1,3.3610033869999825,34.32116872300003
1hg8fs5u,B200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/1hg8fs5u,8,1176.873541413,58.247112716999936,0.2904132449998542,0.0002030870000453433,42.09658622499978,0.00835526499986372,0.0039953989999048645,100.34369894199972,100.64666593799939,144,0.71875,2,3.9114800040001683,38.08229940199999
1hg8fs5u,B200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/1hg8fs5u,9,1213.017790871,56.444211107,0.2517649250000886,0.00021115799995641282,37.012311341999975,0.009097104999909789,0.00407040799996139,93.45652244899998,93.72166604499989,136,0.734375,1,3.2950448919998507,33.62146532299994
5sekbfnq,H200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/5sekbfnq,0,399.073115204,90.60760231100001,1.008344625999996,0.0003704120000236344,99.590194793,0.10069404099999701,0.007033323999962704,190.19779710400002,191.31423950699997,168,0.671875,2,8.42591740399999,90.99955079799994
5sekbfnq,H200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/5sekbfnq,1,603.71415085,80.83798413199997,0.485318919000008,0.002768510000009883,66.46484556800004,0.012459798999998384,0.0073074740000151905,147.30282970000002,147.81068440200005,128,0.75,1,7.219224814999961,59.12747939600001
5sekbfnq,H200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/5sekbfnq,2,789.527602851,91.87564808899998,0.5351135420000901,0.00027628700001969264,110.32614732799993,0.012863526000046477,0.006822051000085594,202.20179541699991,202.75687082300016,168,0.671875,2,8.04512046100001,102.10810563400003
5sekbfnq,H200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/5sekbfnq,3,955.040921471,86.963122753,0.8988019099999747,0.0003051109999887558,95.78516433300001,0.012648479000063162,0.006974639000077332,182.748287086,183.6670172250001,184,0.640625,2,8.504132360000085,87.089413304
5sekbfnq,H200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/5sekbfnq,4,1168.907192995,80.41657398000007,0.410858519000044,0.00027481200004331185,82.67490894499997,0.012045023999917248,0.007052695000083986,163.09148292500004,163.52171397500013,184,0.640625,2,8.251475175999985,74.23994999800004
5sekbfnq,H200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/5sekbfnq,5,1372.342016389,94.60302744799992,0.45061939599986545,0.00027635900005407166,116.8027859140002,0.012311453999927835,0.006868846000088524,211.40581336200012,211.87588941700005,208,0.59375,2,8.626910963,107.95530547899989
5sekbfnq,H200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/5sekbfnq,6,1533.841178779,86.9636429069999,0.4583707140000115,0.0002739410001595388,113.97321267099983,0.01204821900000752,0.0070447450000301615,200.93685557799972,201.41459319699993,200,0.609375,2,9.153441051000073,104.60943883799996
5sekbfnq,H200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/5sekbfnq,7,1741.563765713,88.10281586699989,0.5763984370000799,0.0002844610000920511,71.12514227500014,0.012407301999928677,0.006908635999934631,159.22795814200003,159.82395697800007,104,0.796875,1,5.413723252999944,65.59512796700005
5sekbfnq,H200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/5sekbfnq,8,1956.458876492,92.31096912399994,0.69363153900008,0.00027182100006939436,112.80147337199992,0.012221653000096921,0.007588440000063201,205.11244249599986,205.82615594900017,184,0.640625,2,8.963817216000052,103.63041520900015
5sekbfnq,H200,https://wandb.ai/224r-project/cs224r-minority-voting/runs/5sekbfnq,9,2001.824401811,89.7181683639999,0.5471798620001209,0.00030429900016315514,122.56487838399994,0.012989627000024484,0.007057114999952319,212.28304674799983,212.8505776510001,200,0.609375,2,9.037943658999893,113.30291947599994
