_step,train/vram_peak_gb_step,train/vram_headroom_gb_step,train/vram_peak_gb_t_rollout,train/vram_peak_gb_t_score,train/vram_peak_gb_t_advantage,train/vram_peak_gb_t_train_fwd_bwd,train/vram_peak_gb_t_logprob_fwd,train/vram_peak_gb_t_backward,train/vram_peak_gb_t_optimizer,train/vram_peak_gb_t_weight_sync,train/vram_headroom_gb_after_rollout,train/device_vram_total_gb,train/num_chunks,train/n_kept_sequences,train/t_rollout_s,train/t_train_fwd_bwd_s,train/t_backward_s,run_label,wandb_id,arm,token_budget
5,147.34555292129517,31.005643367767334,92.71638107299805,92.22718286514282,92.22718286514282,147.34555292129517,147.34555292129517,147.34555292129517,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,5,512,62.431049583000004,236.735112717,223.5572489179999,105k_minority_wdl3fczm,wdl3fczm,minority_answer,105000
6,147.54109144210815,30.810104846954346,92.71638107299805,92.22718286514282,92.22718286514282,147.54109144210815,147.54109144210815,147.54109144210815,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,5,512,61.915125192000005,211.36049161999995,200.33541935000062,105k_minority_wdl3fczm,wdl3fczm,minority_answer,105000
7,150.1109595298767,28.24023675918579,92.71638107299805,92.22718286514282,92.22718286514282,150.1109595298767,150.1109595298767,150.1109595298767,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,5,512,58.847860481,204.6920466529998,192.738638176,105k_minority_wdl3fczm,wdl3fczm,minority_answer,105000
8,148.86051559448242,29.490680694580078,92.71638107299805,92.22718286514282,92.22718286514282,148.86051559448242,148.86051559448242,148.86051559448242,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,5,504,62.028851839000254,226.46409399999993,215.68532399400056,105k_minority_wdl3fczm,wdl3fczm,minority_answer,105000
9,148.045663356781,30.305532932281494,92.71638107299805,92.22718286514282,92.22718286514282,148.045663356781,148.045663356781,148.045663356781,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,5,512,58.19540898200012,208.35348458399994,197.47436182699994,105k_minority_wdl3fczm,wdl3fczm,minority_answer,105000
0,136.86152982711792,41.48966646194458,83.09394454956055,82.60474634170532,82.60474634170532,136.86152982711792,136.86152982711792,136.86152982711792,95.43201732635498,92.22718286514282,95.25725173950195,178.3511962890625,2,168,64.546037431,72.35176771600001,67.513637231,105k_grpo_1hg8fs5u,1hg8fs5u,grpo,105000
1,144.68260049819946,33.66859579086304,92.71638107299805,92.22718286514282,92.22718286514282,144.68260049819946,144.68260049819946,144.68260049819946,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,2,152,57.90758061899999,55.47030683800003,51.105457821000044,105k_grpo_1hg8fs5u,1hg8fs5u,grpo,105000
2,145.9729609489441,32.37823534011841,92.71638107299805,92.22718286514282,92.22718286514282,145.9729609489441,145.9729609489441,145.9729609489441,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,2,160,63.80485917599998,70.21294814700002,65.66844459799995,105k_grpo_1hg8fs5u,1hg8fs5u,grpo,105000
3,145.4459104537964,32.90528583526611,92.71638107299805,92.22718286514282,92.22718286514282,145.4459104537964,145.4459104537964,145.4459104537964,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,2,192,57.358184725,63.76328890800005,57.616325478999954,105k_grpo_1hg8fs5u,1hg8fs5u,grpo,105000
4,146.23010206222534,32.12109422683716,92.71638107299805,92.22718286514282,92.22718286514282,146.23010206222534,146.23010206222534,146.23010206222534,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,2,176,46.830940389000034,38.79289096399998,33.18389744199999,105k_grpo_1hg8fs5u,1hg8fs5u,grpo,105000
5,143.79517030715942,34.556025981903076,92.71638107299805,92.22718286514282,92.22718286514282,143.79517030715942,143.79517030715942,143.79517030715942,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,2,200,59.18228204800005,67.60691909900004,62.646093574999895,105k_grpo_1hg8fs5u,1hg8fs5u,grpo,105000
6,140.93838024139404,37.41281604766846,92.71638107299805,92.22718286514282,92.22718286514282,140.93838024139404,140.93838024139404,140.93838024139404,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,2,208,59.744192354000006,71.91907699800004,66.58240663499987,105k_grpo_1hg8fs5u,1hg8fs5u,grpo,105000
7,140.99379110336304,37.35740518569946,92.71638107299805,92.22718286514282,92.22718286514282,140.99379110336304,140.99379110336304,140.99379110336304,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,1,120,53.54130864900003,37.76953829499996,34.32116872300003,105k_grpo_1hg8fs5u,1hg8fs5u,grpo,105000
8,147.9650855064392,30.38611078262329,92.71638107299805,92.22718286514282,92.22718286514282,147.9650855064392,147.9650855064392,147.9650855064392,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,2,144,58.247112716999936,42.09658622499978,38.08229940199999,105k_grpo_1hg8fs5u,1hg8fs5u,grpo,105000
9,141.79951906204224,36.551677227020264,92.71638107299805,92.22718286514282,92.22718286514282,141.79951906204224,141.79951906204224,141.79951906204224,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,1,136,56.444211107,37.012311341999975,33.62146532299994,105k_grpo_1hg8fs5u,1hg8fs5u,grpo,105000
