_step,train/vram_peak_gb_step,train/vram_headroom_gb_step,train/vram_peak_gb_t_rollout,train/vram_peak_gb_t_score,train/vram_peak_gb_t_advantage,train/vram_peak_gb_t_train_fwd_bwd,train/vram_peak_gb_t_logprob_fwd,train/vram_peak_gb_t_backward,train/vram_peak_gb_t_optimizer,train/vram_peak_gb_t_weight_sync,train/vram_headroom_gb_after_rollout,train/device_vram_total_gb,train/num_chunks,train/n_kept_sequences,train/t_rollout_s,train/t_train_fwd_bwd_s,train/t_backward_s,run_label,wandb_id,arm,token_budget
0,152.81317329406738,25.538022994995117,83.09394454956055,82.60474634170532,82.60474634170532,152.81317329406738,152.81317329406738,152.81317329406738,95.43201732635498,92.22718286514282,95.25725173950195,178.3511962890625,4,512,63.043695164,224.46022423000002,211.74673571499994,130k_minority_au96bwh1,au96bwh1,minority_answer,130000
1,161.17497968673706,17.17621660232544,92.71638107299805,92.22718286514282,92.22718286514282,161.17497968673706,161.17497968673706,161.17497968673706,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,4,512,55.33465259000002,188.87707555899993,176.9808920970001,130k_minority_au96bwh1,au96bwh1,minority_answer,130000
2,164.2385950088501,14.112601280212402,92.71638107299805,92.22718286514282,92.22718286514282,164.2385950088501,164.2385950088501,164.2385950088501,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,4,512,55.827825280999946,183.74926352499995,172.25064628099983,130k_minority_au96bwh1,au96bwh1,minority_answer,130000
3,159.6751470565796,18.67604923248291,92.71638107299805,92.22718286514282,92.22718286514282,159.6751470565796,159.6751470565796,159.6751470565796,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,4,512,59.78161989700004,212.12697795299994,200.61255797700005,130k_minority_au96bwh1,au96bwh1,minority_answer,130000
4,165.316987991333,13.034208297729492,92.71638107299805,92.22718286514282,92.22718286514282,165.316987991333,165.316987991333,165.316987991333,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,3,504,52.46481346199994,167.02681196800017,155.68679843299992,130k_minority_au96bwh1,au96bwh1,minority_answer,130000
5,161.07038164138794,17.28081464767456,92.71638107299805,92.22718286514282,92.22718286514282,161.07038164138794,161.07038164138794,161.07038164138794,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,4,504,57.96440329899997,186.3257344010001,175.0145615649999,130k_minority_au96bwh1,au96bwh1,minority_answer,130000
6,159.42815399169922,18.92304229736328,92.71638107299805,92.22718286514282,92.22718286514282,159.42815399169922,159.42815399169922,159.42815399169922,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,4,512,57.532745028000136,196.38091054300003,185.0733290830001,130k_minority_au96bwh1,au96bwh1,minority_answer,130000
7,161.431245803833,16.919950485229492,92.71638107299805,92.22718286514282,92.22718286514282,161.431245803833,161.431245803833,161.431245803833,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,4,512,54.93920346599998,184.7146069559999,172.4611249110003,130k_minority_au96bwh1,au96bwh1,minority_answer,130000
8,163.24492692947388,15.106269359588623,92.71638107299805,92.22718286514282,92.22718286514282,163.24492692947388,163.24492692947388,163.24492692947388,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,4,512,57.362832274000084,182.57903415400006,171.46861026999977,130k_minority_au96bwh1,au96bwh1,minority_answer,130000
9,160.9018783569336,17.449317932128906,92.71638107299805,92.22718286514282,92.22718286514282,160.9018783569336,160.9018783569336,160.9018783569336,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,4,512,57.84046632499985,207.515206993,194.8906150490002,130k_minority_au96bwh1,au96bwh1,minority_answer,130000
0,141.4263162612915,36.924880027770996,83.09394454956055,82.60474634170532,82.60474634170532,141.4263162612915,141.4263162612915,141.4263162612915,95.43201732635498,92.22718286514282,95.25725173950195,178.3511962890625,5,512,61.189049104,222.848878337,211.18504908199998,105k_minority_wdl3fczm,wdl3fczm,minority_answer,105000
1,150.70650339126587,27.64469289779663,92.71638107299805,92.22718286514282,92.22718286514282,150.70650339126587,150.70650339126587,150.70650339126587,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,5,512,54.469339511999976,206.717092051,194.56027223699994,105k_minority_wdl3fczm,wdl3fczm,minority_answer,105000
2,151.29323482513428,27.057961463928223,92.71638107299805,92.22718286514282,92.22718286514282,151.29323482513428,151.29323482513428,151.29323482513428,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,5,512,54.07352661699997,191.312931477,179.2912452879998,105k_minority_wdl3fczm,wdl3fczm,minority_answer,105000
3,149.84508419036865,28.506112098693848,92.71638107299805,92.22718286514282,92.22718286514282,149.84508419036865,149.84508419036865,149.84508419036865,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,5,512,57.40891598600001,208.57470581999985,196.5429650020002,105k_minority_wdl3fczm,wdl3fczm,minority_answer,105000
4,146.78625345230103,31.564942836761475,92.71638107299805,92.22718286514282,92.22718286514282,146.78625345230103,146.78625345230103,146.78625345230103,95.43201732635498,92.22718286514282,85.63481521606445,178.3511962890625,4,512,50.49511936099998,169.330205708,157.83849125300003,105k_minority_wdl3fczm,wdl3fczm,minority_answer,105000
